age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
26,average,,socially,never,working on college/university,hispanic / latin,64,-1,banking / financial / real estate,doesn&rsquo;t have kids,straight,,,f,aries and it&rsquo;s fun to think about,no,english,single
31,average,mostly vegetarian,rarely,never,graduated from space camp,white,71,-1,medicine / health,,straight,likes dogs and likes cats,christianity,m,libra but it doesn&rsquo;t matter,no,english (fluently),single
34,athletic,mostly anything,socially,never,graduated from masters program,white,72,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
26,average,mostly anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,,straight,likes dogs and dislikes cats,catholicism,f,libra,no,english (fluently),single
23,athletic,,socially,never,working on college/university,,67,-1,student,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,catholicism and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (okay)",single
31,fit,mostly anything,socially,never,graduated from college/university,white,69,-1,executive / management,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
30,thin,strictly vegan,not at all,never,graduated from college/university,white,71,-1,education / academia,,straight,likes dogs and likes cats,atheism and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,english,single
33,thin,strictly anything,socially,sometimes,graduated from college/university,white,73,-1,artistic / musical / writer,,straight,likes cats,other,m,scorpio and it matters a lot,sometimes,english,single
27,fit,anything,rarely,never,graduated from college/university,"asian, white",70,-1,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,has dogs,,m,gemini and it&rsquo;s fun to think about,no,english,single
23,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72,-1,clerical / administrative,,straight,likes dogs and dislikes cats,catholicism and laughing about it,m,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",single
22,average,anything,socially,never,,asian,67,-1,other,,straight,has dogs and dislikes cats,agnosticism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)",single
30,fit,,socially,,graduated from masters program,,74,-1,,,straight,likes dogs and likes cats,atheism and laughing about it,m,,no,"english, spanish (poorly)",single
31,fit,,socially,sometimes,graduated from college/university,white,68,-1,other,,straight,,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,no,english,single
28,average,anything,socially,,working on college/university,white,64,-1,other,,straight,,agnosticism,f,gemini,trying to quit,"english, spanish (poorly)",single
28,athletic,anything,socially,never,graduated from college/university,,72,-1,science / tech / engineering,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,atheism,m,,no,english,single
37,average,mostly anything,socially,never,graduated from college/university,white,67,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,,christianity,f,libra,no,english,single
19,average,mostly vegetarian,socially,never,working on college/university,,60,-1,hospitality / travel,doesn&rsquo;t want kids,straight,has dogs and likes cats,,f,cancer,no,"english (fluently), spanish (fluently)",single
27,thin,strictly anything,socially,never,graduated from college/university,white,69,-1,entertainment / media,,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
27,athletic,,,never,,white,69,-1,banking / financial / real estate,,straight,,,m,,,"english, russian",single
33,athletic,mostly anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",single
26,fit,mostly anything,socially,,working on college/university,"hispanic / latin, white",69,-1,other,"doesn&rsquo;t have kids, but might want them",bisexual,likes dogs and likes cats,,m,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)",single
28,curvy,,socially,,,,63,-1,entertainment / media,,straight,,,f,libra,,english,single
36,fit,,socially,,graduated from college/university,white,74,-1,computer / hardware / software,,straight,,,m,,no,english,single
29,average,,often,never,graduated from masters program,,76,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,likes cats,agnosticism,m,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)",single
35,athletic,strictly anything,,,graduated from college/university,"black, white",72,-1,,"doesn&rsquo;t have kids, but wants them",straight,,agnosticism,m,pisces,no,english,single
31,average,strictly anything,often,sometimes,graduated from masters program,white,75,-1,artistic / musical / writer,,straight,,other but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english, indonesian (fluently)",single
39,fit,,socially,,graduated from college/university,white,71,60000,construction / craftsmanship,doesn&rsquo;t have kids,straight,likes dogs,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)",single
28,curvy,anything,socially,sometimes,graduated from masters program,white,66,-1,other,doesn&rsquo;t have kids,bisexual,has cats,other,f,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",single
26,average,mostly anything,socially,never,college/university,pacific islander,69,-1,education / academia,doesn&rsquo;t have kids,straight,,catholicism and somewhat serious about it,m,aquarius,,"english (fluently), tagalog (fluently)",single
27,athletic,mostly anything,socially,,graduated from masters program,,73,-1,,,straight,,,m,,,"english (fluently), swedish (fluently), french (poorly)",single
29,average,anything,often,sometimes,,white,70,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,,agnosticism and laughing about it,m,libra,no,english (okay),single
31,thin,strictly anything,socially,sometimes,dropped out of space camp,,67,1000000,artistic / musical / writer,doesn&rsquo;t have kids,bisexual,,,f,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)",single
25,athletic,mostly anything,socially,never,graduated from college/university,white,66,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
32,fit,,often,sometimes,graduated from college/university,white,66,-1,artistic / musical / writer,,gay,,,f,taurus,no,"english (fluently), spanish (okay)",single
38,athletic,anything,socially,never,graduated from college/university,,65,-1,,wants kids,gay,likes dogs,,f,taurus,no,english,single
30,average,mostly anything,socially,,graduated from college/university,white,69,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,m,gemini and it&rsquo;s fun to think about,no,"english, japanese (poorly)",single
35,athletic,,socially,,graduated from college/university,"asian, native american",69,-1,computer / hardware / software,,straight,has dogs,,m,,,english,single
34,fit,mostly anything,rarely,never,graduated from college/university,white,69,-1,computer / hardware / software,,straight,likes dogs and likes cats,atheism,m,,no,english,single
34,athletic,anything,socially,never,graduated from college/university,white,70,-1,medicine / health,doesn&rsquo;t have kids,gay,likes dogs and has cats,,m,pisces and it&rsquo;s fun to think about,no,"english, farsi (fluently)",single
25,fit,anything,socially,,working on college/university,white,71,-1,student,,straight,,atheism and laughing about it,m,sagittarius,no,"english (fluently), french (fluently), spanish (poorly)",single
20,thin,,socially,,working on college/university,white,72,-1,computer / hardware / software,,straight,,buddhism,m,,when drinking,english,single
22,fit,,socially,sometimes,working on college/university,"hispanic / latin, white",70,-1,student,,straight,has dogs and has cats,agnosticism,m,pisces,sometimes,english,single
31,average,,socially,,graduated from college/university,,71,-1,,,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)",single
31,fit,mostly anything,socially,never,working on college/university,"asian, pacific islander",67,-1,computer / hardware / software,,straight,likes dogs and dislikes cats,catholicism,m,gemini but it doesn&rsquo;t matter,no,"english, tagalog (poorly), c++ (okay)",seeing someone
36,thin,mostly vegetarian,socially,,,white,75,-1,other,doesn&rsquo;t have kids,straight,likes dogs and likes cats,,m,cancer,no,"english, spanish (poorly)",single
30,thin,strictly anything,socially,sometimes,graduated from masters program,white,70,-1,rather not say,doesn&rsquo;t have kids,straight,,agnosticism but not too serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,english,single
28,curvy,mostly vegetarian,socially,,working on masters program,white,67,-1,education / academia,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,other and laughing about it,f,gemini and it&rsquo;s fun to think about,sometimes,"english, spanish (okay)",single
29,athletic,anything,socially,never,graduated from college/university,hispanic / latin,72,-1,political / government,doesn&rsquo;t have kids,straight,,,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
28,fit,mostly vegetarian,socially,never,graduated from ph.d program,white,68,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,,judaism but not too serious about it,m,,no,"english, spanish (poorly)",single
22,athletic,mostly anything,rarely,never,working on college/university,asian,65,20000,education / academia,,straight,,buddhism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
29,thin,,rarely,sometimes,working on college/university,"black, native american, white",66,-1,student,,straight,likes dogs and has cats,other and somewhat serious about it,f,aries and it&rsquo;s fun to think about,sometimes,english (fluently),single
30,average,strictly anything,socially,,,"middle eastern, other",69,-1,medicine / health,doesn&rsquo;t want kids,bisexual,likes dogs and likes cats,other and very serious about it,f,virgo,sometimes,english (fluently),single
28,thin,,socially,sometimes,working on masters program,white,76,-1,other,,gay,likes dogs and likes cats,agnosticism and somewhat serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly)",single
26,,,rarely,never,graduated from college/university,white,62,-1,science / tech / engineering,,straight,,,f,pisces,no,english,single
33,athletic,mostly anything,socially,,graduated from college/university,white,67,-1,entertainment / media,,straight,likes dogs,,f,gemini and it&rsquo;s fun to think about,no,"english, spanish (okay), italian (poorly), c++",single
34,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73,150000,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)",single
30,curvy,mostly anything,socially,never,graduated from law school,indian,61,50000,law / legal services,"doesn&rsquo;t have kids, but might want them",straight,,hinduism but not too serious about it,f,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)",single
27,fit,strictly anything,,,graduated from masters program,white,72,-1,education / academia,,straight,likes dogs and has cats,,m,sagittarius but it doesn&rsquo;t matter,,"english (fluently), french (okay), german (poorly)",single
29,curvy,strictly vegetarian,socially,,graduated from college/university,,67,-1,rather not say,doesn&rsquo;t have kids,bisexual,,,f,gemini,,"english (fluently), spanish (poorly)",available
25,fit,mostly anything,often,sometimes,working on ph.d program,white,72,-1,,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,agnosticism,m,capricorn but it doesn&rsquo;t matter,no,english,single
24,curvy,,socially,never,working on college/university,white,65,-1,other,,bisexual,likes dogs and has cats,agnosticism and laughing about it,f,leo and it&rsquo;s fun to think about,no,english (fluently),seeing someone
35,curvy,mostly anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,doesn&rsquo;t have kids,straight,,agnosticism but not too serious about it,f,,no,"english, spanish, italian",single
20,fit,mostly anything,rarely,never,working on college/university,white,71,20000,entertainment / media,,straight,likes dogs and likes cats,catholicism but not too serious about it,m,,no,english,single
27,thin,,often,never,graduated from masters program,white,67,-1,executive / management,doesn&rsquo;t have kids,straight,,atheism,f,cancer but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)",single
31,average,mostly anything,socially,never,graduated from masters program,white,69,-1,,,gay,likes dogs and likes cats,atheism,m,,no,"english, german (fluently), spanish (okay)",single
34,fit,anything,socially,never,graduated from masters program,white,69,100000,executive / management,,straight,likes dogs and has cats,agnosticism,m,,no,"english, other (poorly)",single
33,average,,socially,never,graduated from college/university,"asian, white",64,-1,science / tech / engineering,,gay,likes dogs and likes cats,,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), spanish (poorly)",single
30,athletic,,socially,never,graduated from college/university,,73,-1,science / tech / engineering,,straight,likes dogs,,m,gemini but it doesn&rsquo;t matter,no,english,single
28,average,,socially,,graduated from college/university,white,68,-1,,,straight,likes cats,atheism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)",single
41,fit,anything,socially,,college/university,,66,-1,,,straight,likes dogs and likes cats,,f,taurus,no,"english (fluently), spanish (okay)",single
28,a little extra,mostly anything,often,never,graduated from college/university,,61,-1,sales / marketing / biz dev,,straight,,,f,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)",single
44,a little extra,,socially,never,two-year college,,71,-1,law / legal services,doesn&rsquo;t have kids,straight,,,m,,no,"english, chinese (poorly), spanish (okay)",single
37,average,mostly anything,socially,never,graduated from college/university,,64,-1,,,straight,likes dogs and has cats,other but not too serious about it,f,,no,english,single
24,average,anything,socially,never,graduated from college/university,black,74,-1,sales / marketing / biz dev,,straight,,,m,cancer,yes,english,single
29,,,,,graduated from college/university,white,74,-1,science / tech / engineering,,straight,,catholicism,m,scorpio,,english,single
30,a little extra,,,sometimes,graduated from two-year college,white,67,50000,medicine / health,,straight,,,f,capricorn and it&rsquo;s fun to think about,,english,available
28,fit,mostly vegetarian,socially,,graduated from college/university,"hispanic / latin, white",69,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,likes dogs,,m,leo,no,"english (fluently), spanish (okay)",single
30,fit,mostly anything,socially,sometimes,graduated from college/university,white,67,40000,artistic / musical / writer,doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism and very serious about it,m,libra,no,english (fluently),single
25,athletic,mostly anything,socially,,graduated from college/university,white,78,80000,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,catholicism and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
34,skinny,mostly other,very often,,dropped out of space camp,white,75,-1,hospitality / travel,,straight,likes dogs and has cats,other and very serious about it,m,aries,no,"english (poorly), german (poorly), spanish (poorly), other (fluently)",single
39,fit,,socially,never,graduated from college/university,asian,70,-1,other,doesn&rsquo;t have kids,straight,,agnosticism,m,,no,"english, chinese",single
32,curvy,anything,socially,sometimes,graduated from masters program,white,66,-1,executive / management,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,f,pisces,no,english (fluently),single
47,average,mostly anything,socially,never,,black,72,-1,construction / craftsmanship,has a kid,straight,,christianity,m,taurus,no,english,single
39,thin,,socially,,working on masters program,white,71,-1,education / academia,"doesn&rsquo;t have kids, but might want them",straight,,,m,aquarius,no,english,single
29,fit,strictly anything,socially,never,graduated from college/university,,68,-1,banking / financial / real estate,,straight,,other and very serious about it,m,,no,"english (poorly), afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)",single
41,athletic,mostly anything,socially,often,working on space camp,white,69,1000000,education / academia,,straight,,agnosticism and somewhat serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)",single
40,athletic,mostly other,socially,sometimes,,white,70,100000,computer / hardware / software,,straight,likes dogs,atheism but not too serious about it,m,leo and it&rsquo;s fun to think about,no,english (fluently),single
30,thin,anything,socially,never,graduated from masters program,white,63,-1,other,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,,f,scorpio but it doesn&rsquo;t matter,no,english,single
41,fit,mostly anything,socially,never,graduated from masters program,white,65,-1,education / academia,has kids,straight,likes dogs,judaism,f,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",single
46,fit,mostly anything,socially,never,graduated from masters program,asian,64,-1,executive / management,doesn&rsquo;t have kids,straight,likes dogs,agnosticism and laughing about it,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
20,athletic,mostly anything,rarely,never,working on med school,white,72,500000,medicine / health,,straight,has dogs,,m,aries and it&rsquo;s fun to think about,no,english,single
27,,,socially,never,graduated from law school,pacific islander,64,-1,law / legal services,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,,f,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)",single
28,fit,strictly anything,socially,never,graduated from college/university,white,66,-1,other,doesn&rsquo;t have kids,straight,,christianity and very serious about it,m,,no,english,single
36,average,,socially,,graduated from masters program,,68,-1,education / academia,,straight,,,m,virgo,no,"english, spanish",single
28,athletic,,socially,,graduated from college/university,white,71,-1,education / academia,doesn&rsquo;t have kids,straight,likes dogs,agnosticism,m,,no,"english (fluently), spanish (fluently)",single
23,athletic,,socially,,,"black, native american, hispanic / latin, other",74,-1,,,straight,,,m,,,english,single
22,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66,20000,other,has a kid,straight,likes dogs and likes cats,other,f,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently),single
36,fit,strictly anything,often,sometimes,graduated from ph.d program,white,70,-1,science / tech / engineering,,straight,likes dogs and likes cats,agnosticism,m,aries but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (poorly)",seeing someone
36,thin,,socially,never,,white,72,-1,,,straight,,atheism and laughing about it,m,aquarius,when drinking,english,single
17,,,,never,,"asian, black, pacific islander",68,-1,,,straight,,,m,,,"english (fluently), sign language (okay), hindi (fluently)",single
55,athletic,,not at all,never,dropped out of college/university,white,67,-1,construction / craftsmanship,has kids,straight,likes dogs and likes cats,other but not too serious about it,m,leo,no,"english (fluently), spanish (fluently), japanese (poorly)",single
20,average,mostly vegetarian,not at all,never,working on space camp,"white, other",65,-1,,doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and somewhat serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), russian (okay), french (poorly)",single
28,thin,mostly anything,socially,,working on college/university,white,66,-1,student,,straight,likes dogs and likes cats,,f,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)",seeing someone
24,average,,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,,straight,has cats,atheism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english, russian (okay)",single
49,fit,mostly anything,socially,never,graduated from two-year college,white,75,-1,unemployed,has kids,straight,dislikes dogs and has cats,christianity and somewhat serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",single
24,athletic,anything,socially,sometimes,graduated from space camp,white,66,-1,artistic / musical / writer,,straight,likes dogs and likes cats,,m,cancer,trying to quit,"english (fluently), russian (fluently)",single
22,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70,1000000,medicine / health,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs,atheism and laughing about it,m,sagittarius and it&rsquo;s fun to think about,sometimes,english,single
28,curvy,mostly anything,socially,never,graduated from college/university,white,62,-1,medicine / health,,bisexual,,other but not too serious about it,f,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
28,fit,,socially,,graduated from college/university,asian,68,150000,science / tech / engineering,,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,,no,english,single
42,average,,socially,never,graduated from college/university,white,73,-1,science / tech / engineering,,straight,,,m,virgo but it doesn&rsquo;t matter,no,"english, german (poorly), lisp (fluently), c++ (fluently)",single
26,fit,strictly anything,socially,,graduated from college/university,asian,68,150000,other,,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,,no,english,available
26,average,,often,never,dropped out of space camp,white,71,-1,computer / hardware / software,doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism and laughing about it,m,libra,trying to quit,english,single
27,average,,rarely,,graduated from college/university,,66,-1,computer / hardware / software,doesn&rsquo;t want kids,straight,,atheism,m,,no,"english (fluently), c++ (okay)",available
29,,,socially,sometimes,dropped out of college/university,white,69,-1,,,straight,likes cats,agnosticism,m,gemini but it doesn&rsquo;t matter,yes,english,available
32,curvy,mostly vegetarian,socially,never,working on space camp,white,68,-1,,,straight,has dogs,other,f,leo and it&rsquo;s fun to think about,trying to quit,"english (okay), german (poorly), spanish (poorly), serbian (poorly)",seeing someone
42,curvy,mostly vegetarian,socially,,graduated from masters program,white,68,-1,artistic / musical / writer,,bisexual,likes dogs and has cats,,f,libra and it matters a lot,no,"english, spanish (poorly), french (poorly)",single
40,average,anything,rarely,never,graduated from masters program,white,68,-1,education / academia,,straight,has dogs,,f,,no,english,single
21,athletic,strictly anything,socially,never,working on ph.d program,white,68,-1,student,doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,,no,"english (fluently), c++ (okay), spanish (okay), lisp (okay)",single
33,athletic,,,never,graduated from college/university,white,67,-1,hospitality / travel,"doesn&rsquo;t have kids, but wants them",straight,,,f,libra,no,"english (fluently), dutch (okay)",single
23,thin,mostly vegan,socially,,working on college/university,white,75,-1,,doesn&rsquo;t have kids,straight,likes cats,atheism,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
49,average,mostly anything,often,never,college/university,white,73,80000,transportation,doesn&rsquo;t want kids,straight,has cats,other,m,libra,no,english,single
32,average,,not at all,never,graduated from college/university,asian,67,-1,science / tech / engineering,,straight,likes dogs,,m,cancer,no,english,seeing someone
23,athletic,,rarely,never,working on college/university,white,73,-1,military,"doesn&rsquo;t have kids, but might want them",straight,,,m,,no,english,single
32,fit,anything,socially,never,graduated from college/university,,62,-1,other,"doesn&rsquo;t have kids, but might want them",straight,,buddhism,f,pisces,no,english,single
60,fit,anything,socially,never,graduated from masters program,white,73,80000,other,doesn&rsquo;t want kids,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,"english (fluently), english",single
37,fit,anything,often,sometimes,graduated from college/university,white,73,-1,construction / craftsmanship,,straight,likes dogs and likes cats,other and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english, english (fluently)",single
30,athletic,,socially,,college/university,,74,-1,,doesn&rsquo;t have kids,straight,,agnosticism and somewhat serious about it,m,,no,english,single
39,fit,mostly anything,socially,,graduated from masters program,white,63,-1,,has kids,straight,,,f,leo,no,english,single
24,skinny,,socially,never,graduated from college/university,"hispanic / latin, white",67,60000,computer / hardware / software,,straight,likes dogs and likes cats,catholicism but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,english (fluently),single
28,average,,desperately,often,,asian,70,-1,,doesn&rsquo;t have kids,straight,,atheism,m,sagittarius,yes,english,single
49,athletic,,socially,never,college/university,asian,66,80000,construction / craftsmanship,has kids,straight,likes dogs and dislikes cats,,m,,no,english,single
32,fit,,socially,never,graduated from college/university,white,64,-1,student,,straight,likes dogs,judaism but not too serious about it,f,,no,"english (fluently), french (okay)",single
42,fit,,socially,,college/university,white,67,-1,transportation,,straight,likes dogs and likes cats,,f,cancer and it&rsquo;s fun to think about,no,english,single
49,skinny,mostly vegetarian,socially,,graduated from masters program,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",63,-1,education / academia,has kids,straight,likes dogs,atheism,f,cancer,no,"english, spanish (okay), german (okay)",single
44,,,socially,,graduated from college/university,white,68,-1,computer / hardware / software,,straight,has dogs and likes cats,catholicism and laughing about it,m,leo but it doesn&rsquo;t matter,no,english,single
47,average,mostly anything,,,graduated from college/university,white,68,-1,artistic / musical / writer,doesn&rsquo;t want kids,straight,has dogs and has cats,,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), other (okay)",single
24,skinny,,socially,sometimes,graduated from two-year college,,75,-1,,,bisexual,,,m,leo and it matters a lot,trying to quit,english,available
26,fit,strictly anything,not at all,never,graduated from college/university,"black, white",73,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,,m,virgo,no,"english (fluently), french (okay)",single
29,thin,mostly anything,socially,never,graduated from two-year college,white,61,-1,hospitality / travel,,gay,,agnosticism,f,scorpio and it&rsquo;s fun to think about,no,english,single
40,full figured,,socially,never,two-year college,other,62,-1,executive / management,has a kid,straight,,christianity and very serious about it,f,,,english,single
28,average,vegetarian,socially,never,graduated from law school,white,68,-1,law / legal services,,straight,likes dogs,agnosticism and somewhat serious about it,f,leo but it doesn&rsquo;t matter,no,"english, spanish (fluently)",single
55,full figured,mostly anything,socially,never,graduated from college/university,white,69,-1,education / academia,,straight,likes dogs and has cats,other,f,scorpio but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
19,fit,,socially,never,working on college/university,white,63,-1,,,straight,likes dogs,christianity,f,,no,english,single
52,average,,socially,,space camp,asian,62,-1,,has kids,straight,likes dogs and has cats,christianity,f,virgo,,english,single
32,average,,socially,never,graduated from masters program,,66,-1,medicine / health,,straight,has dogs,,f,sagittarius but it doesn&rsquo;t matter,,"english, spanish (fluently)",single
29,,,socially,,graduated from college/university,asian,66,-1,sales / marketing / biz dev,,straight,,,m,,,"english, korean (okay)",single
