chart,rank,track,artists,remixers,mix,genre,bpm,key,key_letter,key_chord,length_ms,length,label,release_date,is_dj_edit,is_ugc_remix,explicit
main,17,HOLD DA PHONE,Interplanetary Criminal; Silva Bumpa,,Extended,UK Garage / Bassline,135,C Minor,C,Minor,284665,4:44,Room Two Recordings,2026-08-28,False,False,True
main,18,Ooo La La ,RSquared,,Original Mix,Tech House,128,C Minor,C,Minor,375203,6:15,RWorks,2026-09-10,False,False,False
main,19,Hey Everybody,Kolter,,Extended Mix,House,132,A Minor,A,Minor,455577,7:35,Positiva,2026-07-17,False,False,False
main,20,Get Up and Dance ,Cloonee,,Extended Mix,Tech House,130,Bb Major,B,Major,244251,4:04,Hellbent Records,2026-09-09,False,False,False
main,21,Beat Goes On,Rafael; Adam Ten,,Extended Mix,Indie Tech,124,A Major,A,Major,309677,5:09,Maccabi House,2026-07-24,False,False,False
main,22,Shinjuku,Franky Rizardo,,Extended Mix,House,129,Ab Minor,A,Minor,353173,5:53,LTF Records,2026-03-20,False,False,False
main,23,Good Girl ,Tristan Henry; Cloonee; Prospa,,Extended Mix,House,128,E Minor,E,Minor,270053,4:30,Hellbent Records,2026-07-24,False,False,False
main,24,Jamaican (Bam Bam),HUGEL; SOLTO (FR),,Extended Mix,Afro House,122,A Major,A,Major,300656,5:00,MoBlack Records,2025-11-07,False,False,False
main,25,Want To Know,Rooléh,,Extended Mix,House,129,F Major,F,Major,381500,6:21,No Art,2026-08-14,False,False,False
main,26,Get Low ,Break,,Original Mix,Drum & Bass,119,Db Minor,D,Minor,247930,4:07,Symmetry Recordings,2026-09-18,False,False,False
main,27,Poison,Sota,,Original Mix,Drum & Bass,120,F Minor,F,Minor,271724,4:31,STATE OF THE ART,2026-09-18,False,False,False
main,28,It's Time,Dennis Quin,,Extended Mix,House,132,F Minor,F,Minor,309090,5:09,Haven Trax,2026-09-18,False,False,False
main,29,Funky Feeling,Simes,,Extended Mix,House,129,Bb Minor,B,Minor,316288,5:16,LTF Records,2026-09-04,False,False,False
main,30,Echoes From The 90s,Atlantic Ocean; Desmond; Summum,,Extended Mix,House,131,G Minor,G,Minor,309618,5:09,LTF Records,2026-08-21,False,False,False
main,31,So Good (feat. Kuuda),CAMELPHAT; Josh Gigante; Kuuda,Sapian,Sapian Extended Remix,Dance / Pop,128,Gb Minor,G,Minor,333530,5:33,When Stars Align,2026-08-28,False,False,False
main,32,On 2nite,Silva Bumpa,,Extended Mix,UK Garage / Bassline,136,Ab Minor,A,Minor,270025,4:30,Room Two Recordings,2026-05-29,False,False,False
main,33,Turn Up The Speakers,Afrojack; Martin Garrix; Julian Jordan,,Julian Jordan Extended Remix,Dance / Pop,128,F Major,F,Major,198403,3:18,STMPD RCRDS,2026-09-18,False,False,False
main,34,4Get The Girl,Route 94; Mellizos,,Mellizos Extended Remix,House,130,Gb Minor,G,Minor,328677,5:28,Defected,2026-08-07,False,False,False
main,35,Feel This Grip (feat. Baby Tate),Michael Bibi; Baby Tate,,Extended Mix,Tech House,130,Eb Minor,E,Minor,310961,5:10,Warner Records,2026-08-31,False,False,True
main,36,Reason Why,Sapian,,Extended Mix,Tech House,130,E Minor,E,Minor,325625,5:25,Prophecy,2026-08-14,False,False,False
main,37,People 2 Dance,FLETCH (GB),,Extended Mix,House,128,Gb Minor,G,Minor,408250,6:48,No Art,2026-09-18,False,False,False
main,38,Love Forever (feat. Kuuda),Max Styler; Kuuda,,Extended Mix,Dance / Pop,126,G Major,G,Major,321904,5:21,Nu Moda,2026-08-07,False,False,False
main,39,MYSTERY OF RAW,Wu-Tang Clan; Michael Bibi; Kettama,,Extended Mix,Tech House,130,Ab Major,A,Major,302950,5:02,CircoLoco Records,2026-08-14,False,False,True
main,40,Options,Loboski; Grace Barton; T-Lex,,Extended Mix,Drum & Bass,87,F Minor,F,Minor,226206,3:46,Crucast,2026-09-18,False,False,False
main,41,Back Of The Club,Cloonee,,Extended,Tech House,130,D Major,D,Major,340408,5:40,Ministry of Sound Recordings,2026-09-16,False,False,False
main,42,Palm Of Your Hands,Adriatique,,Extended Mix,Melodic House & Techno,127,A Major,A,Major,254198,4:14,X Recordings,2026-09-18,False,False,False
main,43,Somebody That I Used To Know,David Guetta; Gotye; Kimbra; ARTBAT,,ARTBAT x David Guetta Mix Extended Version,Mainstage,127,F Major,F,Major,336377,5:36,Universal Music Australia Pty. Ltd.,2026-09-04,False,False,False
main,44,Little More (Body Action) ,Sean Doron,,Original Mix,House,130,D Major,D,Major,319394,5:19,You&Me Records,2026-07-31,False,False,False
main,45,Friction,Riordan; Locky (UK),,Extended Mix,Tech House,132,D Minor,D,Minor,321931,5:21,Safelight Records.,2026-08-28,False,False,False
main,46,Can You Feel The Bass ,The Base Boys; Local Dub,,Local Dub Remix,Minimal / Deep Tech,130,D Minor,D,Minor,385861,6:25,You&Me Records,2026-09-11,False,False,True
main,47,There's A Party Goin' On,HARTY (UK),,Extended Mix,Tech House,128,Db Minor,D,Minor,349088,5:49,Prophecy,2026-09-11,False,False,False
main,48,Bassline,Majestic; Layton Giordani; Jungle 70; HILLS (US),,Extended Mix,Bass House,132,Db Major,D,Major,240407,4:00,MADMINDS,2026-09-23,False,False,False
main,49,Losing Focus ,Kyle Watson; Walker & Royce,,Extended Mix,Tech House,129,Eb Major,E,Major,239523,3:59,No Context Records,2026-09-18,False,False,False
main,50,Broken Love,Julian Fijma,,Extended Mix,House,132,A Minor,A,Minor,296378,4:56,Fijma Trax,2026-09-09,False,False,False
main,51,Back To The Flow,Easttown,,Extended Mix,House,131,Gb Minor,G,Minor,355090,5:55,LTF Records,2026-09-18,False,False,False
main,52,Baby Do You Wanna Bump,JØRD,,Original Mix,Indie Dance,124,F Major,F,Major,398709,6:38,AFFAIRS,2026-08-21,False,False,False
main,53,Loca ,Shadu,,Extended Mix,Afro House,123,G Major,G,Major,306341,5:06,On The House,2026-09-11,False,False,False
main,54,Never Leave U,Sonny Kane,,Extended Mix,Tech House,128,B Minor,B,Minor,360675,6:00,Boat Club Records,2026-07-10,False,False,False
main,55,Not A Problem,Nafe Smallz; Max Dean; Luke Dean,,Original Mix,Dance / Pop,132,F Minor,F,Minor,247272,4:07,Interscope Records,2026-09-10,False,False,False
main,56,Genesis II,Subsonic,,Original Mix,Drum & Bass,87,F Major,F,Major,222068,3:42,Subsonic : Frequencies,2026-09-18,False,False,False
main,57,My Place,Josh Baker; Poppy Baskcomb,,Original Mix,House,128,E Minor,E,Minor,333281,5:33,Baker's Dozen,2026-07-03,False,False,False
main,58,Whisper To Me,Jimi Jules; Modern Tales,,Original Mix,Indie Tech,125,G Minor,G,Minor,373038,6:13,Innervisions,2026-07-24,False,False,False
main,59,Long Jacket,Chris Lake; Chris Lorenzo; Cake; KENNY BEATS,,Extended Mix,Dance / Pop,134,G Major,G,Major,273159,4:33,Long Jacket Music,2026-08-28,False,False,False
main,60,Super High,Odd Mob; FAST BOY,,Extended Mix,Dance / Pop,130,Gb Major,G,Major,265846,4:25,October Records,2026-09-16,False,False,False
main,61,On The Beach,York; Mike Momburg; Bella Claxton,,Extended Mix,Trance (Main Floor),140,F Minor,F,Minor,418000,6:58,Armada Music,2026-09-18,False,False,False
main,62,Come To Life,Cassian; AR/CO,,Original Mix,Melodic House & Techno,130,D Major,D,Major,273403,4:33,tszr / Helix Records,2026-07-10,False,False,False
main,63,Movimiento,Yandel; Cloonee; ATLAC,,Extended Version,Tech House,129,C Minor,C,Minor,189215,3:09,Universal Music Latino,2026-09-23,False,False,False
main,64,Ghost Dance,Brunello,,Original Mix,Melodic House & Techno,125,C Minor,C,Minor,372480,6:12,Mellow Circus Records,2025-12-26,False,False,False
main,65,This Time,Pola & Bryson; Harriet Jaxxon,,Original Mix,Drum & Bass,109,B Minor,B,Minor,202758,3:22,Shogun Audio,2026-09-18,False,False,False
main,66,Paradise,CASSIMM,,Extended Mix,House,128,C Minor,C,Minor,332111,5:32,Toolroom,2026-09-04,False,False,False
main,67,La La Land,Green Velvet; Meduza; GENESI (ITA); ESSENTIA (IT),,Extended Mix,Tech House,128,A Major,A,Major,331879,5:31,Broke,2026-05-15,False,False,False
main,68,I Never Knew,Adam Ten,,Extended Mix,Indie Tech,125,D Minor,D,Minor,299683,4:59,Defected,2026-06-05,False,False,False
main,69,Wicked Weekend,CAMELPHAT,,Original Mix,Tech House,130,Bb Major,B,Major,271567,4:31,Diynamic,2026-09-09,False,False,False
main,70,Can I Ride,95 South; SIDEPIECE,,Extended Mix,Tech House,132,Gb Major,G,Major,234570,3:54,LIP SERVICE,2026-07-10,False,False,False
main,71,Mami,HUGEL; Neton Vega,,Extended Mix,House,128,D Minor,D,Minor,322500,5:22,Make The Girls Dance Records,2026-09-18,False,False,False
main,72,Misery,Rossi.,,Original Mix,Minimal / Deep Tech,131,D Minor,D,Minor,279923,4:39,ROSSI.HOME//GRXWN.,2026-09-11,False,False,False
main,73,Upside Down ,BELLEKOM; Ennio (NL),,Extended Mix,Tech House,130,G Minor,G,Minor,358384,5:58,Criterio Music,2026-08-14,False,False,False
main,74,Pop This ,Öwnboss,,Extended Mix,Tech House,130,E Major,E,Major,282461,4:42,Catch & Release,2026-09-18,False,False,False
main,75,My Life Is A Disco (In The Mix),MIXMASTERS; Mellizos,,Extended Mix,House,130,Bb Minor,B,Minor,329625,5:29,LTF Records,2026-05-08,False,False,False
main,76,Bring That Beat Back ,AMMIL,,Extended Mix,Tech House,130,Eb Minor,E,Minor,347076,5:47,range.,2026-08-20,False,False,False
main,77,Stay Sexy,Mili; HUGEL; LaBritney,,Extended Mix,Indie Tech,124,Db Major,D,Major,348870,5:48,Make The Girls Dance Records,2026-06-26,False,False,True
main,78,Groovejet (If This Ain’t Love),Spiller; Sophie Ellis-Bextor; William Kiss; Jordan Brando; Luke Alessi; not without friends,,not without friends Extended Remix,House,130,A Major,A,Major,385156,6:25,Defected,2026-04-24,False,False,False
main,79,Easy A,Kaufmann (DE),,Original Mix,Techno (Peak Time / Driving),130,Db Major,D,Major,374000,6:14,Drumcode,2026-09-18,False,False,False
main,80,Music Sounds Better With You,Stardust,,Original Mix,House,124,D Minor,D,Minor,403293,6:43,Because Music,2019-06-28,False,False,False
main,81,Another Night,RUZE; Ranger Trucco; Chesster,,Ranger Trucco Extended Remix,House,130,C Major,C,Major,386011,6:26,Defected,2026-08-28,False,False,False
main,82,I Met Her Last Summer,Dam Swindle,,Original Mix,Deep House,123,E Minor,E,Minor,392000,6:32,Freerange Records,2026-09-11,False,False,False
main,83,Jungle Daze (feat. Natalie Williams),Goldie; Natalie Williams,Break,Break Remix,Drum & Bass,86,D Minor,D,Minor,269781,4:29,Goldie Inc Ltd.,2026-09-04,False,False,False
main,84,Shine,David Guetta; French Montana; HUGEL; Aidan Martin,,Extended Mix,Funky House,125,Bb Minor,B,Minor,292131,4:52,Make The Girls Dance Records,2026-06-26,False,False,False
main,85,Panteras ,Reboot; Carloh,,Original Mix,House,130,A Minor,A,Minor,376375,6:16,Cecille,2026-07-17,False,False,False
main,86,FRICTION,Tiga,Brunello,Brunello Remix,Tech House,125,C Minor,C,Minor,355278,5:55,Turbo Recordings,2026-09-11,False,False,False
main,87,Body Shake,Max Styler,,Extended Mix,Indie Tech,128,E Major,E,Major,301874,5:01,Nu Moda,2026-08-07,False,False,False
main,88,Feel The Same ,Jeff Sorkowitz,,Original Mix,Minimal / Deep Tech,129,C Major,C,Major,327616,5:27,Short Circuit,2026-09-04,False,False,False
main,89,Play Right,Crazibiza; Dj Effendi,Balearix,Balearix Remix,Funky House,126,Gb Minor,G,Minor,295357,4:55,PornoStar Records,2026-06-19,False,False,False
main,90,Warehouse ,HotLap; Yanick,,Original Mix,Melodic House & Techno,124,Eb Major,E,Major,327096,5:27,Magnifik Music,2026-09-18,False,False,False
main,91,I Need U,FLETCH (GB),,Extended Mix,House,131,D Minor,D,Minor,324063,5:24,No Art,2026-09-18,False,False,False
main,92,Keep Up,Adam Beyer; Argy; Alok,,Extended Mix,Melodic House & Techno,132,D Minor,D,Minor,241818,4:01,RAVE THE WORLD,2026-09-04,False,False,False
main,93,4Get The Girl,Route 94; Samm (BE),,Samm Extended Remix,Tech House,122,Gb Minor,G,Minor,350188,5:50,Defected,2026-09-04,False,False,False
main,94,Feel My Needs,Weiss,Cash Only; Rue Jay,Rue Jay x Cash Only Extended Mix,UK Garage / Bassline,135,E Minor,E,Minor,273777,4:33,Toolroom,2026-09-18,False,False,False
main,95,Control,G-Pol; SIDEPIECE,,Extended Mix,Bass House,130,F Major,F,Major,214944,3:34,LIP SERVICE,2026-07-28,False,False,False
main,96,The Clock ,Kirk,,Original Mix,Hard Dance / Hardcore / Neo Rave,155,Eb Major,E,Major,294193,4:54,ELEKTRA Music,2026-08-28,False,False,False
main,97,The 11th Hour,Celia Babini; Brunello,,Original Mix,Melodic House & Techno,125,G Minor,G,Minor,433920,7:13,Mellow Circus Records,2026-07-24,False,False,False
main,98,In Da Zone ,Tini Gessler,,Extended Mix,Bass House,128,Ab Major,A,Major,345468,5:45,Catch & Release,2026-09-04,False,False,True
main,99,Dead Orbit,Benny L; Simula,,Original Mix,Drum & Bass,87,G Minor,G,Minor,296228,4:56,Dance Macabre,2026-09-11,False,False,False
main,100,What We Got,Midas Field; Marijn Jansen,,Original Mix,Deep House,128,E Minor,E,Minor,377875,6:17,tszr,2026-08-07,False,False,False
house,1,1997,Beave,,Original Mix,House,132,Eb Minor,E,Minor,363636,6:03,Staff Only,2026-08-27,False,False,False
house,2,Sun is Shining (Lovelee Dae),Tommy Phillips,,Extended Mix,House,130,G Minor,G,Minor,340615,5:40,Safelight Records.,2026-08-19,False,False,False
house,3,Control,Joseph Capriati; GENNARO,,Extended Mix,House,128,C Minor,C,Minor,380625,6:20,Metamorfosi Records,2026-09-18,False,False,False
house,4,Legacy (Assanssan),Rooléh,,Original Mix,House,128,G Minor,G,Minor,371093,6:11,tszr,2026-09-11,False,False,False
house,5,Talk To You ,ANOTR; 54 Ultra,,Extended Mix,House,132,G Minor,G,Minor,306779,5:06,NO ART,2026-03-06,False,False,False
house,6,Hey Everybody,Kolter,,Extended Mix,House,132,A Minor,A,Minor,455577,7:35,Positiva,2026-07-17,False,False,False
house,7,Shinjuku,Franky Rizardo,,Extended Mix,House,129,Ab Minor,A,Minor,353173,5:53,LTF Records,2026-03-20,False,False,False
house,8,Good Girl ,Tristan Henry; Cloonee; Prospa,,Extended Mix,House,128,E Minor,E,Minor,270053,4:30,Hellbent Records,2026-07-24,False,False,False
house,9,Want To Know,Rooléh,,Extended Mix,House,129,F Major,F,Major,381500,6:21,No Art,2026-08-14,False,False,False
house,10,It's Time,Dennis Quin,,Extended Mix,House,132,F Minor,F,Minor,309090,5:09,Haven Trax,2026-09-18,False,False,False
house,11,Funky Feeling,Simes,,Extended Mix,House,129,Bb Minor,B,Minor,316288,5:16,LTF Records,2026-09-04,False,False,False
house,12,Echoes From The 90s,Atlantic Ocean; Desmond; Summum,,Extended Mix,House,131,G Minor,G,Minor,309618,5:09,LTF Records,2026-08-21,False,False,False
house,13,4Get The Girl,Route 94; Mellizos,,Mellizos Extended Remix,House,130,Gb Minor,G,Minor,328677,5:28,Defected,2026-08-07,False,False,False
house,14,People 2 Dance,FLETCH (GB),,Extended Mix,House,128,Gb Minor,G,Minor,408250,6:48,No Art,2026-09-18,False,False,False
house,15,Little More (Body Action) ,Sean Doron,,Original Mix,House,130,D Major,D,Major,319394,5:19,You&Me Records,2026-07-31,False,False,False
house,16,Broken Love,Julian Fijma,,Extended Mix,House,132,A Minor,A,Minor,296378,4:56,Fijma Trax,2026-09-09,False,False,False
house,17,Back To The Flow,Easttown,,Extended Mix,House,131,Gb Minor,G,Minor,355090,5:55,LTF Records,2026-09-18,False,False,False
house,18,My Place,Josh Baker; Poppy Baskcomb,,Original Mix,House,128,E Minor,E,Minor,333281,5:33,Baker's Dozen,2026-07-03,False,False,False
house,19,Paradise,CASSIMM,,Extended Mix,House,128,C Minor,C,Minor,332111,5:32,Toolroom,2026-09-04,False,False,False
house,20,Mami,HUGEL; Neton Vega,,Extended Mix,House,128,D Minor,D,Minor,322500,5:22,Make The Girls Dance Records,2026-09-18,False,False,False
house,21,My Life Is A Disco (In The Mix),MIXMASTERS; Mellizos,,Extended Mix,House,130,Bb Minor,B,Minor,329625,5:29,LTF Records,2026-05-08,False,False,False
house,22,Groovejet (If This Ain’t Love),Spiller; Sophie Ellis-Bextor; William Kiss; Jordan Brando; Luke Alessi; not without friends,,not without friends Extended Remix,House,130,A Major,A,Major,385156,6:25,Defected,2026-04-24,False,False,False
house,23,Music Sounds Better With You,Stardust,,Original Mix,House,124,D Minor,D,Minor,403293,6:43,Because Music,2019-06-28,False,False,False
house,24,Another Night,RUZE; Ranger Trucco; Chesster,,Ranger Trucco Extended Remix,House,130,C Major,C,Major,386011,6:26,Defected,2026-08-28,False,False,False
house,25,Panteras ,Reboot; Carloh,,Original Mix,House,130,A Minor,A,Minor,376375,6:16,Cecille,2026-07-17,False,False,False
house,26,I Need U,FLETCH (GB),,Extended Mix,House,131,D Minor,D,Minor,324063,5:24,No Art,2026-09-18,False,False,False
house,27,Absolute Scorcher,Desmond; Summum,,Extended Mix,House,131,Db Major,D,Major,331603,5:31,LTF Records,2026-06-26,False,False,False
house,28,Edge of Desire,Jonas Blue; Malive,,Extended Mix,House,123,G Major,G,Major,252736,4:12,Defected,2025-07-18,False,False,False
house,29,Can't Stop,Kyle Icardi,,Original Mix,House,130,G Minor,G,Minor,310153,5:10,Nervous Records,2026-09-04,False,False,False
house,30,Push The Tempo,Capri; Denis Sulta,,Extended Mix,House,128,A Major,A,Major,465536,7:45,Defected,2026-09-11,False,False,False
house,31,The Montana Girl ,Kyle Walker,,Extended Mix,House,130,C Major,C,Major,354461,5:54,Forever Days,2026-08-14,False,False,False
house,32,Da Fonk (feat. Joni),Joni; Mochakk,Marco Carola,Marco Carola Bass Mix,House,127,C Major,C,Major,366193,6:06,Nervous Records,2026-08-28,False,False,False
house,33,Keep Up,Funkerman; Sama (US),,Extended Mix,House,125,F Major,F,Major,327480,5:27,GOTTA MOVE,2026-08-21,False,False,False
house,34,Come Get Up,Butch; Santos (IT),,Extended Mix,House,126,E Minor,E,Minor,467371,7:47,Saved Records,2026-09-25,False,False,False
house,35,I Want Your Soul,Armand Van Helden,,Original Mix,House,128,Bb Minor,B,Minor,399546,6:39,Southern Fried Records,2013-01-01,False,False,False
house,36,Yebisah,Mark Knight; Cristoph,,Extended Mix,House,125,D Minor,D,Minor,385440,6:25,Toolroom,2026-08-21,False,False,False
house,37,Baile De Fantome,Franky Rizardo,,Extended Mix,House,128,Ab Minor,A,Minor,427500,7:07,LTF Records,2025-05-16,False,False,False
house,38,All Night Long,Ferra Black; Chico Rose (NL),,Extended Mix,House,129,Gb Major,G,Major,372093,6:12,LTF Records,2026-08-07,False,False,False
house,39,Jammin',Simon Kidzoo; Mellizos,,Extended Mix,House,130,C Minor,C,Minor,329034,5:29,Factory 93 Records,2026-07-17,False,False,False
house,40,TOO COOL TO BE CARELESS,PAWSA,,Extended Mix,House,128,Gb Minor,G,Minor,400000,6:40,PAWZ,2024-07-05,False,False,False
house,41,World Hold On feat. Steve Edwards,Bob Sinclar; Steve Edwards,FISHER (OZ),"Fisher Rework, Extended Mix",House,127,Ab Minor,A,Minor,333567,5:33,Yellow Productions,2022-07-08,False,False,False
house,42,Big Things Coming ,Luuk Van Dijk,,Original Mix,House,128,F Major,F,Major,386132,6:26,LOVE ON THE ROCKS,2026-09-22,False,False,False
house,43,Ain't No Way,Dustin McCoi; Aphroditi,,Extended Mix,House,135,G Minor,G,Minor,341787,5:41,addicted.,2026-07-31,False,False,False
house,44,Actin' Tough,Dean Turnley,,Original Mix,House,140,C Minor,C,Minor,303857,5:03,ROSSI.HOME//GRXWN.,2026-03-20,False,False,True
house,45,Make Me,Borai & Denham Audio,Franky Rizardo,Franky Rizardo Extended Remix,House,130,Bb Minor,B,Minor,343384,5:43,Room Two Recordings,2023-12-15,False,False,False
house,46,Disco Whoops,FIRZA,,Extended Mix,House,131,Eb Major,E,Major,368358,6:08,IN / ROTATION (Insomniac Records),2026-08-11,False,False,False
house,47,Feel,Franky Rizardo,,Extended Mix,House,130,B Minor,B,Minor,428307,7:08,LTF Records,2026-06-19,False,False,False
house,48,One 25,Tatan Bilbao,,Extended Mix,House,129,F Minor,F,Minor,360930,6:00,LTF Records,2026-08-28,False,False,False
house,49,The Bridge,Kyle Walker; Ranger Trucco; Nate Katz,,Original Mix,House,130,Ab Minor,A,Minor,392500,6:32,ROSSI.HOME//GRXWN.,2026-07-17,False,False,False
house,50,Balance,Simes,,Extended Mix,House,130,Gb Minor,G,Minor,341538,5:41,LTF Records,2026-09-04,False,False,False
house,51,I Get Lifted,Barbara Tucker; Michael Gray,,Extended Mix,House,124,D Minor,D,Minor,388655,6:28,Fool's Paradise,2026-09-04,False,False,False
house,52,Loneliness,Robbie Doherty,,Extended,House,136,D Minor,D,Minor,370393,6:10,blanc,2026-08-14,False,False,False
house,53,Be Yourself,Pancratio,,Original Mix,House,136,A Major,A,Major,344575,5:44,Faith Beat,2026-08-07,False,False,False
house,54,Stupidisco,Junior Jack,,Original Mix,House,125,F Minor,F,Minor,307600,5:07,Noisetraxx,2004-02-09,False,False,False
house,55,The Weekend,Michael Gray,,Extended Vocal Mix,House,127,E Minor,E,Minor,488093,8:08,Altra Moda,2004-10-04,False,False,False
house,56,Music Is The Way I Live,Kathy Brown; Revival House Project,,Extended Mix,House,126,Db Minor,D,Minor,297153,4:57,Fool's Paradise,2026-09-18,False,False,False
house,57,U Don't Know Me feat. Duane Harden,Armand Van Helden,,Original Mix,House,130,F Major,F,Major,486266,8:06,X-Mix Productions,2006-06-20,False,False,False
house,58,One More Time,Daft Punk,,12 Mix,House,123,D Major,D,Major,480040,8:00,Daft Life Ltd./ADA France,2000-12-08,False,False,False
house,59,The Roller,Jewel Kid; Low Steppa,Wh0,Wh0 Remix,House,128,E Minor,E,Minor,315937,5:15,Alleanza,2026-08-28,False,False,False
house,60,Rhythm Of The House ,Ejeca; Alex Culross,,Original Mix,House,132,Gb Minor,G,Minor,365462,6:05,You&Me Records,2026-06-19,False,False,False
house,61,Explicit Behaviour,Jewel Kid,,Original Mix,House,128,A Minor,A,Minor,319250,5:19,Rekids,2026-08-14,False,False,False
house,62,Dreams ,FIRZA,,Original Mix,House,129,Gb Major,G,Major,344765,5:44,Mood Child,2026-09-11,False,False,False
house,63,Italian Job,SOSA (UK),,Extended Mix,House,132,D Minor,D,Minor,316363,5:16,Metamorfosi Records,2026-07-24,False,False,False
house,64,Nothing Ever Stops The Rave,Supernova; Cari Golden; KIRIK,,Extended Mix,House,130,Eb Minor,E,Minor,298181,4:58,DHB Records,2026-09-18,False,False,False
house,65,La Nuit,Supernova,,Extended Mix,House,130,F Major,F,Major,341095,5:41,LTF Records,2026-06-12,False,False,False
house,66,That's Right ,Midas Field,,Original Mix,House,130,A Minor,A,Minor,372345,6:12,PIV,2026-08-28,False,False,False
house,67,Discombobulated,TB-203,,Original Mix,House,128,G Major,G,Major,339374,5:39,Slacker 85,2026-08-07,False,False,False
house,68,Chica,Najeh; Ben Evers,,Original Mix,House,131,D Minor,D,Minor,320837,5:20,trUst recordings,2026-06-05,False,False,False
house,69,Cheri Cheri Lady,Gawdat,,Extended Mix,House,128,B Minor,B,Minor,320625,5:20,Slacker 85,2026-08-28,False,False,False
house,70,One More Time,Daft Punk,,Original Mix,House,123,D Major,D,Major,320357,5:20,Daft Life Ltd./ADA France,2001-03-12,False,False,False
house,71,Wtfa ,Dennis Cruz; Bora Uzer,,Original Mix,House,126,F Major,F,Major,312430,5:12,Botaniq,2026-09-04,False,False,False
house,72,Power,Jats (ofc),,Original Mix,House,126,Eb Major,E,Major,321428,5:21,Stereo Productions,2026-08-06,False,False,False
house,73,I feel for you,Bob Sinclar,,Original,House,130,Eb Minor,E,Minor,350813,5:50,Yellow Productions,2000-10-01,False,False,False
house,74,This Rhythm (feat. RAHH),Prospa; RAHH,,Extended Mix,House,127,Bb Minor,B,Minor,258000,4:18,CircoLoco Records,2024-11-08,False,False,False
house,75,U Can Feel It,JØRD; Galli J; GESUS (BR),,Original Mix,House,126,B Minor,B,Minor,289583,4:49,GDB RECORDS,2026-09-16,False,False,False
house,76,Brighter Days ,Dajae,DJ Spen; Thommy Davis; Gary Hudgins,"DJ Spen, Thommy Davis & Gary Hudgins Gospel Anthem Extended Remix",House,124,D Minor,D,Minor,345000,5:45,Big Love Music,2026-09-11,False,False,False
house,77,Work,KC Lights; KTLN,,Extended Mix,House,129,E Minor,E,Minor,296250,4:56,Toolroom,2026-09-11,False,False,False
house,78,Show Me Love,Robin S,,Original Mix,House,120,A Minor,A,Minor,252253,4:12,Wagram Music / Balagan Music,2020-06-26,False,False,False
house,79,Selector,The Trip,,Original Mix,House,128,D Minor,D,Minor,334214,5:34,Tessellate,2026-05-29,False,False,False
house,80,Da Fonk feat. Joni,Mochakk,,Original Mix,House,127,A Minor,A,Minor,366141,6:06,Nervous Records,2022-07-01,False,False,False
