EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2021	Q4	Dec	2021	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2018	Q1	Jan	2018	T1	janv.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	35
2017	Q2	Jun	2017	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	10
2018	Q2	Apr	2018	T2	avr.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	460
2019	Q1	Feb	2019	T1	fév.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	420
2025	Q3	Aug	2025	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2025	Q3	Aug	2025	T3	août	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	50
2024	Q2	Apr	2024	T2	avr.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	90
2018	Q1	Mar	2018	T1	mars	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	660
2015	Q4	Oct	2015	T4	oct.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Trade	Métiers spécialisés	5
2019	Q3	Jul	2019	T3	juil.	Nova Scotia	Nouvelle-Écosse	Skilled Trade	Métiers spécialisés	--
2017	Q3	Sep	2017	T3	sept.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2023	Q2	Jun	2023	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2024	Q2	May	2024	T2	mai	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	130
2019	Q2	May	2019	T2	mai	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	60
2016	Q2	May	2016	T2	mai	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q2	Jun	2022	T2	juin	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1040
2016	Q2	May	2016	T2	mai	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	275
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	355
2026	Q2	Apr	2026	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	5
2024	Q4	Oct	2024	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	10
2021	Q4	Nov	2021	T4	nov.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2019	Q3	Aug	2019	T3	août	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	4075
2023	Q3	Jul	2023	T3	juil.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	20
2020	Q1	Jan	2020	T1	janv.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	70
2025	Q2	Jun	2025	T2	juin	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	150
2025	Q3	Jul	2025	T3	juil.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q2	May	2020	T2	mai	Ontario	Ontario	Skilled Trade	Métiers spécialisés	5
2020	Q2	May	2020	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q2	Jun	2018	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2017	Q4	Oct	2017	T4	oct.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	40
2020	Q2	Apr	2020	T2	avr.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	10
2022	Q2	May	2022	T2	mai	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	70
2017	Q4	Dec	2017	T4	déc.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2020	Q1	Jan	2020	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	5
2017	Q4	Nov	2017	T4	nov.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	425
2021	Q2	Jun	2021	T2	juin	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	185
2025	Q3	Aug	2025	T3	août	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	665
2025	Q2	Apr	2025	T2	avr.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	130
2019	Q1	Feb	2019	T1	fév.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	15
2024	Q2	Apr	2024	T2	avr.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	55
2024	Q1	Mar	2024	T1	mars	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	65
2020	Q2	May	2020	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	15
2024	Q4	Dec	2024	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	5
2024	Q1	Feb	2024	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2019	Q4	Oct	2019	T4	oct.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	4460
2017	Q4	Dec	2017	T4	déc.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	15
2019	Q1	Mar	2019	T1	mars	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2015	Q4	Dec	2015	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2019	Q3	Jul	2019	T3	juil.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	275
2017	Q4	Oct	2017	T4	oct.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	20
2016	Q3	Jul	2016	T3	juil.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	215
2021	Q2	Apr	2021	T2	avr.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	140
2025	Q1	Mar	2025	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	10
2017	Q2	Apr	2017	T2	avr.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	15
2021	Q2	Apr	2021	T2	avr.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	95
2015	Q4	Nov	2015	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2024	Q2	Apr	2024	T2	avr.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	70
2024	Q3	Sep	2024	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2024	Q4	Nov	2024	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2019	Q2	May	2019	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	15
2018	Q1	Jan	2018	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	15
2026	Q1	Mar	2026	T1	mars	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	--
2026	Q1	Mar	2026	T1	mars	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	50
2024	Q3	Aug	2024	T3	août	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	40
2016	Q1	Jan	2016	T1	janv.	Saskatchewan	Saskatchewan	Skilled Trade	Métiers spécialisés	--
2020	Q3	Sep	2020	T3	sept.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	95
2025	Q1	Feb	2025	T1	fév.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	4765
2016	Q2	May	2016	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2017	Q1	Mar	2017	T1	mars	New Brunswick	Nouveau-Brunswick	Skilled Trade	Métiers spécialisés	--
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	3465
2021	Q1	Jan	2021	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2019	Q1	Jan	2019	T1	janv.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	35
2016	Q2	May	2016	T2	mai	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	135
2022	Q1	Mar	2022	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2019	Q2	Jun	2019	T2	juin	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	40
2020	Q1	Feb	2020	T1	fév.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	100
2020	Q2	Apr	2020	T2	avr.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	90
2019	Q1	Jan	2019	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2023	Q2	May	2023	T2	mai	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	45
2025	Q2	Jun	2025	T2	juin	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	3250
2022	Q3	Jul	2022	T3	juil.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	35
2024	Q3	Sep	2024	T3	sept.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	430
2022	Q2	Apr	2022	T2	avr.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	20
2022	Q1	Mar	2022	T1	mars	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	35
2025	Q4	Nov	2025	T4	nov.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	165
2018	Q3	Sep	2018	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	50
2019	Q3	Jul	2019	T3	juil.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	55
2024	Q4	Nov	2024	T4	nov.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	155
2018	Q3	Aug	2018	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2021	Q2	May	2021	T2	mai	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q2	May	2022	T2	mai	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q3	Jul	2026	T3	juil.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2016	Q1	Jan	2016	T1	janv.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	50
2017	Q3	Jul	2017	T3	juil.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	20
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	3415
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	740
2015	Q3	Sep	2015	T3	sept.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	10
2016	Q1	Jan	2016	T1	janv.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	275
2025	Q4	Dec	2025	T4	déc.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	150
2025	Q3	Jul	2025	T3	juil.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	35
2020	Q1	Feb	2020	T1	fév.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q1	Feb	2026	T1	fév.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	100
2020	Q4	Oct	2020	T4	oct.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	--
2015	Q3	Sep	2015	T3	sept.	Saskatchewan	Saskatchewan	Skilled Trade	Métiers spécialisés	--
2017	Q2	May	2017	T2	mai	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	125
2023	Q4	Oct	2023	T4	oct.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	50
2016	Q3	Sep	2016	T3	sept.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	115
2019	Q1	Feb	2019	T1	fév.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	10
2018	Q1	Mar	2018	T1	mars	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	210
2016	Q1	Mar	2016	T1	mars	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	5
2022	Q2	May	2022	T2	mai	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	235
2018	Q3	Sep	2018	T3	sept.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	10
2022	Q4	Oct	2022	T4	oct.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	655
2022	Q3	Jul	2022	T3	juil.	Manitoba	Manitoba	Skilled Trade	Métiers spécialisés	--
2022	Q3	Aug	2022	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2015	Q4	Oct	2015	T4	oct.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	--
2018	Q2	May	2018	T2	mai	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	390
2023	Q2	May	2023	T2	mai	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	15
2017	Q1	Jan	2017	T1	janv.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	485
2019	Q2	May	2019	T2	mai	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	460
2025	Q4	Oct	2025	T4	oct.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2019	Q2	Apr	2019	T2	avr.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q1	Mar	2020	T1	mars	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	55
2024	Q2	Apr	2024	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	25
2020	Q1	Feb	2020	T1	fév.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	30
2022	Q3	Jul	2022	T3	juil.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2023	Q1	Feb	2023	T1	fév.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	545
2018	Q1	Jan	2018	T1	janv.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	30
2024	Q4	Dec	2024	T4	déc.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	2055
2021	Q2	Apr	2021	T2	avr.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	110
2026	Q3	Jul	2026	T3	juil.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	--
2022	Q2	Jun	2022	T2	juin	Alberta	Alberta	Skilled Trade	Métiers spécialisés	5
2024	Q3	Jul	2024	T3	juil.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2024	Q4	Oct	2024	T4	oct.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2019	Q2	May	2019	T2	mai	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2025	Q1	Feb	2025	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2025	Q4	Nov	2025	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	20
2024	Q2	May	2024	T2	mai	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1310
2019	Q1	Feb	2019	T1	fév.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	235
2021	Q2	May	2021	T2	mai	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	40
2021	Q1	Feb	2021	T1	fév.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	175
2019	Q2	Apr	2019	T2	avr.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	170
2018	Q4	Dec	2018	T4	déc.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	--
2018	Q3	Jul	2018	T3	juil.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1130
2026	Q2	May	2026	T2	mai	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	190
2024	Q4	Dec	2024	T4	déc.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	150
2021	Q2	May	2021	T2	mai	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	--
2019	Q4	Oct	2019	T4	oct.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	10
2015	Q4	Dec	2015	T4	déc.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2021	Q1	Mar	2021	T1	mars	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	1660
2020	Q1	Feb	2020	T1	fév.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	100
2016	Q3	Sep	2016	T3	sept.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	15
2024	Q3	Sep	2024	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2021	Q3	Aug	2021	T3	août	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2021	Q2	May	2021	T2	mai	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2016	Q4	Dec	2016	T4	déc.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2017	Q4	Dec	2017	T4	déc.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	285
2026	Q2	Apr	2026	T2	avr.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	30
2016	Q3	Aug	2016	T3	août	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	10
2021	Q2	Jun	2021	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	65
2022	Q4	Oct	2022	T4	oct.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	480
2015	Q4	Nov	2015	T4	nov.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	175
2020	Q4	Oct	2020	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	25
2018	Q4	Oct	2018	T4	oct.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	25
2020	Q3	Sep	2020	T3	sept.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	35
2018	Q4	Nov	2018	T4	nov.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	25
2015	Q4	Nov	2015	T4	nov.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	--
2024	Q4	Oct	2024	T4	oct.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	430
2020	Q1	Mar	2020	T1	mars	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	5
2019	Q1	Mar	2019	T1	mars	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2019	Q3	Aug	2019	T3	août	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	65
2021	Q3	Aug	2021	T3	août	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	80
2023	Q2	Apr	2023	T2	avr.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	285
2026	Q1	Feb	2026	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2021	Q4	Oct	2021	T4	oct.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	5
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	--
2019	Q4	Nov	2019	T4	nov.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1105
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Skilled Trade	Métiers spécialisés	5
2024	Q1	Mar	2024	T1	mars	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2022	Q1	Feb	2022	T1	fév.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	135
