EN_YEAR	FR_ANNEÉ	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_INVITATION_CATEGORY	FR_CATEGORIE_D'INVITATION	EN_ITA_SCORE	FR_NOTE_D'IPD	TOTAL
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	5
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	15
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	5
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	10
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	10
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	20
2015	2015	Nova Scotia	Nouvelle-Écosse	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	5
2015	2015	Nova Scotia	Nouvelle-Écosse	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	15
2015	2015	Nova Scotia	Nouvelle-Écosse	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	10
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	10
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 401 - 450	Note 401 - 450	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	65
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	10
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	10
2015	2015	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	140
2015	2015	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	15
2015	2015	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	340
2015	2015	Nunavut	Nunavut	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	--
2015	2015	Nunavut	Nunavut	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	--
2015	2015	Nunavut	Nunavut	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	--
2015	2015	Nunavut	Nunavut	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Nunavut	Nunavut	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Nunavut	Nunavut	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	45
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1101 - 1200	Note 1101 - 1200	5
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 401 - 450	Note 401 - 450	15
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	595
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	80
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 601 - 700	Note 601 - 700	20
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	160
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	600
2015	2015	Ontario	Ontario	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	310
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	10
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 451 - 500	Note 451 - 500	5
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 501 - 600	Note 501 - 600	--
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	10
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	85
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	65
2015	2015	Ontario	Ontario	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	20
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	315
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	30
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 401 - 450	Note 401 - 450	90
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	3620
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	355
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 701 - 800	Note 701 - 800	--
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	35
2015	2015	Ontario	Ontario	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	215
2015	2015	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	625
2015	2015	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	20
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	5
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	5
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	25
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	10
2015	2015	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	80
2015	2015	Province/Territory not stated	Province / territoire non déclaré(e)	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	--
2015	2015	Province/Territory not stated	Province / territoire non déclaré(e)	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	10
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	--
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 601 - 700	Note 601 - 700	--
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	35
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	40
2015	2015	Saskatchewan	Saskatchewan	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	20
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 451 - 500	Note 451 - 500	--
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	--
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	10
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	10
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	5
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	15
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	65
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	5
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	--
2015	2015	Saskatchewan	Saskatchewan	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	20
2015	2015	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	25
2015	2015	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 701 - 800	Note 701 - 800	--
2015	2015	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	15
2015	2015	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	255
2015	2015	Yukon	Yukon	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Yukon	Yukon	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	--
2015	2015	Yukon	Yukon	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	--
2015	2015	Yukon	Yukon	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Yukon	Yukon	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	--
2015	2015	Yukon	Yukon	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	--
2015	2015	Yukon	Yukon	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	--
2015	2015	Yukon	Yukon	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	--
2016	2016	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	195
2016	2016	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1101 - 1200	Note 1101 - 1200	5
2016	2016	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	620
